13:10:17.441 WARN  c.m.s.d.service.DataLoadingService - Error al cargar el archivo C:\Users\z3eisla\Desktop\SyncHPRT_Service\pendings\Note4_72_80.txt
13:10:18.110 INFO  c.m.sync.utils.ProgressEventFactory - [Cargando PLU] Se han procesado 56 elementos para la balanza -> 10.107.127.120
13:10:18.112 WARN  c.m.s.infraestructure.api.LogService - JSON creado: {"id":0,"store":72,"departamento":80,"accionBalanza":"Carga de PLU\u0027s","cantidadCambios":56,"ipBalanza":"10.107.127.120","fechaHora":"26-05-25 13:10:17","resultado":"Success"}, para balanza ip: 10.107.127.120
13:10:18.137 INFO  c.m.s.infraestructure.api.LogService - Se ha modificado el log correctamente para balanza 10.107.127.120.
13:10:35.096 INFO  c.m.s.a.c.ScalesNetworkController - Actualizando Set de Balanzas Actualizacion Forzada.
13:10:35.113 INFO  c.m.s.i.api.ScaleService - [ScaleService] Solicitud de balanzas por Marca 'HPRT' realizada exitosamente.
13:10:37.096 INFO  c.m.s.a.c.ScalesNetworkController - Evaluando si existe balanzas que requieran una cargaLayout o cargaMaestra.
13:11:35.096 INFO  c.m.s.a.c.ScalesNetworkController - Actualizando Set de Balanzas Actualizacion Forzada.
13:11:35.105 INFO  c.m.s.i.api.ScaleService - [ScaleService] Solicitud de balanzas por Marca 'HPRT' realizada exitosamente.
13:11:38.096 INFO  c.m.s.a.c.ScalesNetworkController - Evaluando si existe balanzas que requieran una cargaLayout o cargaMaestra.
